Actual,Predicted
0.0,5.067593
0.0,6.53047
1.23,50.788136
1.46,6.852064
1.95,17.21077
0.0,4.5306377
13.99,4.8298693
6.44,5.703043
0.0,7.1132245
0.75,3.7202861
0.0,6.162982
1.72,8.036411
0.0,9.485113
0.0,6.09574
0.0,8.301572
4.42,6.084174
0.0,7.3866086
0.0,9.002581
6.96,28.723835
10.02,5.0674787
36.85,4.8334885
23.41,11.858039
24.77,38.80994
19.23,9.018456
0.0,6.0551176
0.68,75.57806
0.0,7.4898543
5.86,82.22696
0.0,10.140757
2.18,7.1137414
2.87,5.266275
15.64,11.819692
0.47,6.4227934
0.0,8.861544
0.0,5.669674
8.16,21.78156
0.0,4.4323225
48.55,8.984785
0.0,16.133444
4.69,3.9051056
0.0,54.061386
0.0,10.371446
1.56,6.1922894
0.0,10.5830345
0.0,23.68079
0.0,26.017643
0.0,5.629837
61.13,19.783693
3.78,8.918607
7.36,5.726879
0.0,5.1488237
1090.84,10.725933
16.4,23.61624
0.0,6.527281
49.59,28.668533
0.0,5.5783634
0.0,7.3112435
0.0,7.1331434
0.0,8.4302635
0.0,5.7590075
2.47,7.0847144
10.01,9.237749
2.74,26.951162
0.0,4.9437346
0.0,7.7669716
0.0,11.197755
0.0,7.935409
0.0,36.891346
58.3,28.453215
0.0,5.3925495
0.0,7.858057
212.88,11.065579
0.0,5.89653
0.0,4.1219587
0.9,5.9031243
0.0,4.2171965
0.0,16.032873
3.2,7.373025
6.36,7.0854406
0.0,5.9174767
4.61,4.080236
95.18,7.8676157
0.0,11.923479
0.0,4.6661453
0.0,4.38407
6.84,4.5461946
0.0,6.321815
0.0,8.220207
10.73,8.636893
0.52,6.2700806
0.0,35.09122
0.0,4.323652
13.7,9.869914
9.71,5.459798
1.07,4.3101826
32.07,7.3025026
0.0,5.0783343
1.52,18.63347
0.0,16.718596
2.51,42.236923
5.38,3.3885539
2.17,5.0369277
54.29,3.9396908
34.36,10.967213
